source_file,source_type,room,board_number,vulnerability_code,vulnerability,dealer_code,dealer,south_hand_raw,west_hand_raw,north_hand_raw,east_hand_raw,south_hand_norm,west_hand_norm,north_hand_norm,east_hand_norm,tricks_claimed,bidding_sequence,final_contract,board_data_status
85647.lin,BBO,open,10,b,both,4.0,E,STHJT43DT73C98652,SAK93HQ92D962CQT3,SQ8765HA6DKQ85CJ7,,STHJT43DT73C98652,SAK93HQ92D962CQT3,SQ8765HA6DKQ85CJ7,,8.0,1C PASS 1S PASS 1NT PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85647.lin,BBO,open,11,o,none,1.0,S,S7HAJTDAKT7C98753,SKJ5HK3D632CAK642,SQT642HQ975DQJ85C,,S7HAJTDAKT7C98753,SKJ5HK3D632CAK642,SQT642HQ975DQJ85C,,9.0,1D 2C 2S 3C PASS PASS 3D PASS PASS PASS,3D,missing_or_invalid
85652.lin,BBO,open,17,o,none,3.0,N,SAH8643DA9652CJ74,SQ742HJ9DJ43CAK98,SKJT63HKQT5DKT8C6,,SAH8643DA9652CJ74,SQ742HJ9DJ43CAK98,SKJT63HKQT5DKT8C6,,9.0,1S PASS 1NT PASS 2H PASS PASS PASS,2H,missing_or_invalid
85652.lin,BBO,open,18,n,ns,4.0,E,SA3HA653D86532CT6,S654HQ942DJ7CJ853,SKQJ982HJ7DQCAK92,,SA3HA653D86532CT6,S654HQ942DJ7CJ853,SKQJ982HJ7DQCAK92,,10.0,1D PASS PASS 2S PASS 3D! PASS 4S PASS PASS PASS,4S,missing_or_invalid
85652.lin,BBO,open,19,e,ew,1.0,S,S2HJT954DAKJT6C76,S93HK732D942CQJ93,SKT754HAQDQ7CAT84,,S2HJT954DAKJT6C76,S93HK732D942CQJ93,SKT754HAQDQ7CAT84,,10.0,2H! PASS PASS PASS,PASSOUT,missing_or_invalid
85652.lin,BBO,open,20,b,both,2.0,W,S752HATDKQT8653C9,SK3H97DA742CJT543,ST8HK8642DJ9CAK76,,S752HATDKQT8653C9,SK3H97DA742CJT543,ST8HK8642DJ9CAK76,,9.0,PASS 1H 1S X XX PASS 2S 3D PASS PASS 3S 4D 4S PASS PASS PASS,4S,missing_or_invalid
85652.lin,BBO,open,21,n,ns,3.0,N,SKT742HAT64DK4CJT,SQJ9H985DQ83C8762,SA5HK7DAT762CA543,,SKT742HAT64DK4CJT,SQJ9H985DQ83C8762,SA5HK7DAT762CA543,,10.0,1NT PASS 2C PASS 2D PASS 3H PASS 4S PASS PASS PASS,4S,missing_or_invalid
85652.lin,BBO,open,22,e,ew,4.0,E,SKJHKQ9543D2CAKQ4,SQT74HADQT865C975,SA95H872DAK973C83,,SKJHKQ9543D2CAKQ4,SQT74HADQT865C975,SA95H872DAK973C83,,11.0,PASS 1H PASS 2C PASS 3C! PASS 3D! PASS 4C! PASS 4NT PASS 5S X 6H PASS PASS PASS,6H,missing_or_invalid
85652.lin,BBO,open,23,b,both,1.0,S,S65HAQJ4DKJ7CKJ63,SKQ97H65DT863CT84,SAJ843HK972D54C72,,S65HAQJ4DKJ7CKJ63,SKQ97H65DT863CT84,SAJ843HK972D54C72,,11.0,1NT PASS 2H! PASS 2S PASS 3H PASS 4H PASS PASS PASS,4H,missing_or_invalid
85652.lin,BBO,open,24,o,none,2.0,W,S8HK974DQJ76CKJ43,SJT976543HDK2CQT8,SAHJ632DT543C7652,,S8HK974DQJ76CKJ43,SJT976543HDK2CQT8,SAHJ632DT543C7652,,11.0,4S PASS 4NT PASS 5C PASS 5H PASS 6D PASS 6S PASS PASS PASS,6S,missing_or_invalid
85652.lin,BBO,open,25,e,ew,3.0,N,SK7HT2DKQ65CJ9764,SAQ985HJDA98742C3,SJ63HA97DJT3CAKQT,,SK7HT2DKQ65CJ9764,SAQ985HJDA98742C3,SJ63HA97DJT3CAKQT,,7.0,1NT PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85652.lin,BBO,open,26,b,both,4.0,E,S6H65DJ6CQJT98642,SK75HAQT42DAK854C,SJT92H987DQT732CA,,S6H65DJ6CQJT98642,SK75HAQT42DAK854C,SJT92H987DQT732CA,,13.0,1S PASS 2H PASS 2S PASS 4C! PASS 4S PASS 5C! PASS 6H PASS 6S PASS PASS PASS,6S,missing_or_invalid
85652.lin,BBO,open,27,o,none,1.0,S,SJ3HK94DAQJT863CQ,S987H632DK95CT654,SQ642HA85D742CK83,,SJ3HK94DAQJT863CQ,S987H632DK95CT654,SQ642HA85D742CK83,,8.0,1D PASS 1S X 3D! PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85652.lin,BBO,open,28,n,ns,2.0,W,S72HQT7DAKT92CK76,SK93HA92DQ54C5432,SA8HKJ843DJCAQJT8,,S72HQT7DAKT92CK76,SK93HA92DQ54C5432,SA8HKJ843DJCAQJT8,,11.0,PASS 1H 3S 4D! 4S 4NT PASS 5H PASS 6H PASS PASS PASS,6H,missing_or_invalid
85652.lin,BBO,open,29,b,both,3.0,N,SJ98642HKT852DCQ5,S3H6DQJ543CA87432,SAKQTHJ97D972CKT6,,SJ98642HKT852DCQ5,S3H6DQJ543CA87432,SAKQTHJ97D972CKT6,,11.0,5S PASS PASS PASS,5S,missing_or_invalid
85652.lin,BBO,open,30,o,none,4.0,E,SKJ87HK9652DQJC43,SQ63HAJ74D9875C95,ST94HQDT64CAKQ876,,SKJ87HK9652DQJC43,SQ63HAJ74D9875C95,ST94HQDT64CAKQ876,,5.0,1D 1H 1NT PASS PASS PASS,1NT,missing_or_invalid
85652.lin,BBO,open,31,n,ns,1.0,S,SA9HJT9762DJ842C9,SKJ854H4D65CKQJT8,SQ632HAQ85DAK3C54,,SA9HJT9762DJ842C9,SKJ854H4D65CKQJT8,SQ632HAQ85DAK3C54,,9.0,2D! 2S D! PASS 3H PASS 4H PASS PASS PASS,4H,missing_or_invalid
85652.lin,BBO,open,32,e,ew,2.0,W,SAJ94HT84DAJ63CK4,SQ86HK7DK9CA98652,ST753HQJ93D2CQJT7,,SAJ94HT84DAJ63CK4,SQ86HK7DK9CA98652,ST753HQJ93D2CQJT7,,7.0,1C PASS 1H X 2C 2S PASS PASS PASS,2S,missing_or_invalid
85653.lin,BBO,open,1,o,none,3.0,N,S98HKJ762DA8CAQ75,S763H85DKJ52CJ932,SKQJTHQ94DT64CT86,,S98HKJ762DA8CAQ75,S763H85DKJ52CJ932,SKQJTHQ94DT64CT86,,,PASS 1D 1H PASS 2H PASS PASS PASS,2H,missing_or_invalid
85653.lin,BBO,open,2,n,ns,4.0,E,SK543HK7DKT432CK4,SAT7HJ4DA976CA953,SJ98HQT863DQJ8CQ6,,SK543HK7DKT432CK4,SAT7HJ4DA976CA953,SJ98HQT863DQJ8CQ6,,,PASS 1D PASS 1H PASS 1S PASS 2D PASS PASS PASS,2D,missing_or_invalid
85653.lin,BBO,open,3,e,ew,1.0,S,SA763HA85DKT3C876,ST8HK643DQ92CQT93,SKJ54HJ7DJ754CJ54,,SA763HA85DKT3C876,ST8HK643DQ92CQT93,SKJ54HJ7DJ754CJ54,,9.0,PASS PASS PASS 1NT PASS PASS PASS,1NT,missing_or_invalid
85653.lin,BBO,open,4,b,both,2.0,W,SJ42HT86DKT86C742,SAK8HQJ743DQ97CAT,S75HADAJ543CKQJ85,,SJ42HT86DKT86C742,SAK8HQJ743DQ97CAT,S75HADAJ543CKQJ85,,10.0,1NT 2N! PASS 3D PASS PASS PASS,3D,missing_or_invalid
85653.lin,BBO,open,5,n,ns,3.0,N,S8763H95DKT7632C3,ST5HKQ73DQ4CKQ942,SAJ2HJ2D85CAJT875,,S8763H95DKT7632C3,ST5HKQ73DQ4CKQ942,SAJ2HJ2D85CAJT875,,10.0,1C 1H PASS 3C X 4H PASS PASS PASS,4H,missing_or_invalid
85653.lin,BBO,open,6,e,ew,4.0,E,SQ6432HA53DK65C75,S5HQT82D9842CQT84,SAJ97HJ94DTCAK963,,SQ6432HA53DK65C75,S5HQT82D9842CQT84,SAJ97HJ94DTCAK963,,10.0,1NT PASS PASS 2D! PASS 2H! PASS 2S PASS PASS PASS,2S,missing_or_invalid
85666.lin,BBO,open,17,o,none,3.0,N,SJ9543HQJ43DAC985,SKT8H7DJ9643CKT74,SQ7HAKT5DKQT85CQ2,,SJ9543HQJ43DAC985,SKT8H7DJ9643CKT74,SQ7HAKT5DKQT85CQ2,,7.0,1NT PASS PASS PASS,1NT,missing_or_invalid
85666.lin,BBO,open,18,n,ns,4.0,E,SJ43HA872D64CK982,SQ752H43D987CT765,SK986HQT5DQJT5C43,,SJ43HA872D64CK982,SQ752H43D987CT765,SK986HQT5DQJT5C43,,,2NT PASS PASS PASS,2NT,missing_or_invalid
85666.lin,BBO,open,19,e,ew,1.0,S,SAQJ73HJ7DAQJTCK4,SKT5HQT8D954CJT53,S86HA964D8732CA87,,SAQJ73HJ7DAQJTCK4,SKT5HQT8D954CJT53,S86HA964D8732CA87,,9.0,1C! PASS 1D PASS 1N! PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85666.lin,BBO,open,20,b,both,2.0,W,SK82HKQT765DKT3C3,SQJ954H42DA6542CA,STHJ3DQJ7CKQT7652,,SK82HKQT765DKT3C3,SQJ954H42DA6542CA,STHJ3DQJ7CKQT7652,,10.0,1S 3C 3S PASS 4S PASS PASS PASS,4S,missing_or_invalid
85666.lin,BBO,open,21,n,ns,3.0,N,SJHA98762DQ4C9864,SAT75HQ5DKT65CKQT,SKQ98642HK4DJ732C,,SJHA98762DQ4C9864,SAT75HQ5DKT65CKQT,SKQ98642HK4DJ732C,,8.0,3S PASS PASS PASS,3S,missing_or_invalid
85666.lin,BBO,open,22,e,ew,4.0,E,SKJT742HAJ987DCK6,S8HT54D9753CT9543,S93HKQ6DAQJ6CAQ82,,SKJT742HAJ987DCK6,S8HT54D9753CT9543,S93HKQ6DAQJ6CAQ82,,12.0,PASS PASS PASS 6NT PASS PASS PASS,6NT,missing_or_invalid
85666.lin,BBO,open,23,b,both,1.0,S,SQJ6542H4D9432CA2,SHJ853DK87CKQJT96,SAT73HQ976DQJTC84,,SQJ6542H4D9432CA2,SHJ853DK87CKQJT96,SAT73HQ976DQJTC84,,7.0,2S 3C 3S 3NT PASS PASS PASS,3NT,missing_or_invalid
85666.lin,BBO,open,24,o,none,2.0,W,SQT9874HDKCKT9843,SA3HAJT32DA954CA5,SJ65H95DQJT32CQJ6,,SQT9874HDKCKT9843,SA3HAJT32DA954CA5,SJ65H95DQJT32CQJ6,,10.0,1H PASS 4H 4S X PASS 5H PASS PASS PASS,5H,missing_or_invalid
85666.lin,BBO,open,25,e,ew,3.0,N,SJT8762HJT92D9C52,SA93H8753DAT4CAQ8,SQ54HA64DQ86CT963,,SJT8762HJT92D9C52,SA93H8753DAT4CAQ8,SQ54HA64DQ86CT963,,12.0,PASS 1D 3S X PASS 4C PASS 5D PASS PASS PASS,5D,missing_or_invalid
85666.lin,BBO,open,26,b,both,4.0,E,ST74HJ86D8743CK83,SAKQJHKDJT6CAQJ54,S98653HA7DAK9CT96,,ST74HJ86D8743CK83,SAKQJHKDJT6CAQJ54,S98653HA7DAK9CT96,,9.0,3H PASS 4H PASS PASS PASS,4H,missing_or_invalid
85676.lin,BBO,open,3,e,ew,1.0,S,SAKJT3HTDK3CA6542,S9HQ7DQJ8542CKQJ9,SQ875HA86532DAT6C,,SAKJT3HTDK3CA6542,S9HQ7DQJ8542CKQJ9,SQ875HA86532DAT6C,,11.0,7S PASS PASS PASS,7S,missing_or_invalid
85676.lin,BBO,open,6,e,ew,4.0,E,SK52HAK94DJT73CJ9,SQJ8764H7D2CAKQ54,S3H853DKQ965C8763,,SK52HAK94DJT73CJ9,SQJ8764H7D2CAKQ54,S3H853DKQ965C8763,,11.0,1H PASS 1S PASS 1N! PASS 2D! PASS 2H PASS 2S! PASS 3C! PASS 3S PASS 3NT PASS 4C PASS 4S PASS PASS PASS,4S,missing_or_invalid
85676.lin,BBO,open,7,b,both,1.0,S,ST8HK9532DJ53C753,SAKJ75HAJ8DK6CT86,S64H764DAT94CAKQJ,,ST8HK9532DJ53C753,SAKJ75HAJ8DK6CT86,S64H764DAT94CAKQJ,,9.0,PASS 1S X 2S PASS PASS PASS,2S,missing_or_invalid
85676.lin,BBO,open,8,o,none,2.0,W,SAKQT62H5DK93CQ84,S9H963DQ84CAJ7652,S54HKQJT42DT765CK,,SAKQT62H5DK93CQ84,S9H963DQ84CAJ7652,S54HKQJT42DT765CK,,,PASS 2D! PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
85676.lin,BBO,open,9,e,ew,3.0,N,SK765HT82D732CQ75,SQJ832HQ76DK4CT92,SA9HAKJ4DAT965CK3,,SK765HT82D732CQ75,SQJ832HQ76DK4CT92,SA9HAKJ4DAT965CK3,,8.0,1C! PASS 1D PASS 1NT PASS PASS PASS,1NT,missing_or_invalid
85676.lin,BBO,open,10,b,both,4.0,E,S865H2DAKT852CJ42,SQ932HAQ3DJ96CAQT,SAKJ74HK9754DCK93,,S865H2DAKT852CJ42,SQ932HAQ3DJ96CAQT,SAKJ74HK9754DCK93,,7.0,PASS 3D PASS PASS PASS,3D,missing_or_invalid
85676.lin,BBO,open,11,o,none,1.0,S,SJ832HT753D942CJ4,SQ5HKQJ642DT73C95,SAKTHA8DA865CAT86,,SJ832HT753D942CJ4,SQ5HKQJ642DT73C95,SAKTHA8DA865CAT86,,,PASS 2D! X XX PASS 2H X PASS 2S PASS PASS PASS,2S,missing_or_invalid
85676.lin,BBO,open,12,n,ns,2.0,W,SAQT9872HK62DK8C8,SJHJ753DAT72CQ975,S54HQ9D9654CAKJT2,,SAQT9872HK62DK8C8,SJHJ753DAT72CQ975,S54HQ9D9654CAKJT2,,9.0,PASS PASS PASS 4S PASS PASS PASS,4S,missing_or_invalid
85676.lin,BBO,open,13,b,both,3.0,N,SAT93HAQJ7DK6CKJ6,SJ42H3DJT54CT8543,S85H9854D9872CA72,,SAT93HAQJ7DK6CKJ6,SJ42H3DJT54CT8543,S85H9854D9872CA72,,8.0,PASS 1D X PASS 1H PASS 3H PASS PASS PASS,3H,missing_or_invalid
85676.lin,BBO,open,14,o,none,4.0,E,SK98542HAKDJ75CKT,SJTHT2DAK32CQ9653,SQ63HJ8765DT8CAJ7,,SK98542HAKDJ75CKT,SJTHT2DAK32CQ9653,SQ63HJ8765DT8CAJ7,,10.0,PASS 1S PASS 2S PASS 4S PASS PASS PASS,4S,missing_or_invalid
85676.lin,BBO,open,15,n,ns,1.0,S,SK8642HJ65DJ65CK6,SAJ3HQTDAK42CQT87,S7H9432DT987C5432,,SK8642HJ65DJ65CK6,SAJ3HQTDAK42CQT87,S7H9432DT987C5432,,12.0,PASS 1D PASS 1H PASS 1NT PASS 2C PASS 2S! PASS 4NT PASS 6NT PASS PASS PASS,6NT,missing_or_invalid
85676.lin,BBO,open,16,e,ew,2.0,W,S53HK973DAKQ4CQ94,SA2HAQT4DJT853CA6,SQJ984HJ65D9CKT87,,S53HK973DAKQ4CQ94,SA2HAQT4DJT853CA6,SQJ984HJ65D9CKT87,,9.0,1D PASS PASS PASS,1D,missing_or_invalid
TM-11158-1752844179.lin,TM,open,1,o,none,3.0,N,SAQ83HDAT42CKT976,ST9HAQD9653CJ8532,SK754HJ32DKQ87CAQ,,SAQ83HDAT42CKT976,ST9HAQD9653CJ8532,SK754HJ32DKQ87CAQ,,12.0,1NT 3H X PASS 3S PASS 4S PASS PASS PASS,4S,missing_or_invalid
TM-11158-1752844179.lin,TM,open,2,n,ns,4.0,E,SQ98HQ84DQT52CA97,SA43HAT9DK8CQT643,SKT5H7DAJ9763CK85,,SQ98HQ84DQT52CA97,SA43HAT9DK8CQT643,SKT5H7DAJ9763CK85,,,PASS PASS 1C 1D X PASS 1NT PASS 2H PASS PASS PASS,2H,missing_or_invalid
TM-11158-1752844179.lin,TM,open,3,e,ew,1.0,S,ST96H872D942C7632,SAQJHQT9643DJ86C9,S52HADKQT75CAKQT4,,ST96H872D942C7632,SAQJHQT9643DJ86C9,S52HADKQT75CAKQT4,,11.0,PASS 2D! X 3H PASS PASS 4C PASS PASS 4H X PASS PASS PASS,4H,missing_or_invalid
TM-11158-1752844179.lin,TM,open,4,b,both,2.0,W,S87H43DKQ6CKJ8763,SJ54HKT9865DJTCQ4,SAT92HAJ2DA9842CA,,S87H43DKQ6CKJ8763,SJ54HKT9865DJTCQ4,SAT92HAJ2DA9842CA,,11.0,2D! X 2H PASS PASS 3D PASS 3H! X 3NT PASS PASS PASS,3NT,missing_or_invalid
TM-11158-1752844179.lin,TM,open,5,n,ns,3.0,N,SA96HAKT54DACQJ97,SQJ8HQJDJ9872CAT3,S753H97632DQ3C654,,SA96HAKT54DACQJ97,SQJ8HQJDJ9872CAT3,S753H97632DQ3C654,,9.0,PASS PASS 1H PASS 3H PASS 4H PASS PASS PASS,4H,missing_or_invalid
TM-11158-1752844179.lin,TM,open,6,e,ew,4.0,E,SQT6H95DAKQ7CA872,SJHAQD986532CKQ94,SAK743HKJ3DJTCJ65,,SQT6H95DAKQ7CA872,SJHAQD986532CKQ94,SAK743HKJ3DJTCJ65,,9.0,PASS 1NT PASS 2H! PASS 2S PASS 3NT PASS 4S PASS PASS PASS,4S,missing_or_invalid
TM-11158-1752844179.lin,TM,open,7,b,both,1.0,S,S8H542DJ32CAT9843,SK65HAKT83DAK9CK6,SAJT7HQ7DQ7654C72,,S8H542DJ32CAT9843,SK65HAKT83DAK9CK6,SAJT7HQ7DQ7654C72,,9.0,PASS 2NT PASS 3H! PASS 3S PASS 3NT PASS 4S PASS PASS PASS,4S,missing_or_invalid
TM-11158-1752844179.lin,TM,open,8,o,none,2.0,W,SQ8HQJ9DK7CAK9632,S43HKT763D53CJT54,S97652H82DQ9642CQ,,SQ8HQJ9DK7CAK9632,S43HKT763D53CJT54,S97652H82DQ9642CQ,,6.0,PASS 2S! PASS 2N! PASS 3D PASS 3NT PASS PASS X PASS PASS PASS,3NT,missing_or_invalid
TM-11158-1752844179.lin,TM,open,9,e,ew,3.0,N,SAJ652HKJ8DQ7CA72,SQ84HA96D92CKQ854,SKT97HQT32DKJCJT9,,SAJ652HKJ8DQ7CA72,SQ84HA96D92CKQ854,SKT97HQT32DKJCJT9,,,PASS 3D X PASS 3H PASS PASS PASS,3H,missing_or_invalid
TM-11158-1752844179.lin,TM,open,10,b,both,4.0,E,SJ6H542DKT943CK43,S9HQ76DA65CAQT876,SKQ5HK983DQ82CJ52,,SJ6H542DKT943CK43,S9HQ76DA65CAQT876,SKQ5HK983DQ82CJ52,,10.0,1S PASS 2C PASS 2S PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
TM-11158-1752844179.lin,TM,open,11,o,none,1.0,S,SK87HKQJ962DQ85C9,SJ632HADA432CKJ64,SAQ4HT74DKT7CT532,,SK87HKQJ962DQ85C9,SJ632HADA432CKJ64,SAQ4HT74DKT7CT532,,10.0,1H X 2H PASS PASS PASS,2H,missing_or_invalid
TM-11158-1752844179.lin,TM,open,12,n,ns,2.0,W,SKQJTHA8754DKT3CT,S92HKQJTDA9764C72,SA87H32DJ52CAQ954,,SKQJTHA8754DKT3CT,S92HKQJTDA9764C72,SA87H32DJ52CAQ954,,9.0,PASS 1C PASS 1H PASS 1NT PASS 2D! X 2NT PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
TM-11159-1752844182.lin,TM,open,1,o,none,3.0,N,SAQ83HDAT42CKT976,ST9HAQD9653CJ8532,SK754HJ32DKQ87CAQ,,SAQ83HDAT42CKT976,ST9HAQD9653CJ8532,SK754HJ32DKQ87CAQ,,,1D 3H 3S PASS 4S PASS PASS PASS,4S,missing_or_invalid
TM-11159-1752844182.lin,TM,open,2,n,ns,4.0,E,SQ98HQ84DQT52CA97,SA43HAT9DK8CQT643,SKT5H7DAJ9763CK85,,SQ98HQ84DQT52CA97,SA43HAT9DK8CQT643,SKT5H7DAJ9763CK85,,10.0,PASS PASS PASS 1D PASS 2NT PASS 3D PASS 3NT PASS PASS PASS,3NT,missing_or_invalid
TM-11159-1752844182.lin,TM,open,3,e,ew,1.0,S,ST96H872D942C7632,SAQJHQT9643DJ86C9,S52HADKQT75CAKQT4,,ST96H872D942C7632,SAQJHQT9643DJ86C9,S52HADKQT75CAKQT4,,,PASS 2H X 4H PASS PASS 5C X PASS PASS PASS,5C,missing_or_invalid
TM-11159-1752844182.lin,TM,open,4,b,both,2.0,W,S87H43DKQ6CKJ8763,SJ54HKT9865DJTCQ4,SAT92HAJ2DA9842CA,,S87H43DKQ6CKJ8763,SJ54HKT9865DJTCQ4,SAT92HAJ2DA9842CA,,,3H X PASS 4C PASS 4S PASS 5C PASS 5D PASS 5S PASS PASS X PASS PASS 6D X PASS PASS PASS,6D,missing_or_invalid
TM-11159-1752844182.lin,TM,open,5,n,ns,3.0,N,SA96HAKT54DACQJ97,SQJ8HQJDJ9872CAT3,S753H97632DQ3C654,,SA96HAKT54DACQJ97,SQJ8HQJDJ9872CAT3,S753H97632DQ3C654,,10.0,PASS PASS 1H PASS 3H PASS 4H PASS PASS PASS,4H,missing_or_invalid
TM-11159-1752844182.lin,TM,open,6,e,ew,4.0,E,SQT6H95DAKQ7CA872,SJHAQD986532CKQ94,SAK743HKJ3DJTCJ65,,SQT6H95DAKQ7CA872,SJHAQD986532CKQ94,SAK743HKJ3DJTCJ65,,,PASS 1NT 2D 3S PASS 4S PASS PASS PASS,4S,missing_or_invalid
TM-11159-1752844182.lin,TM,open,7,b,both,1.0,S,S8H542DJ32CAT9843,SK65HAKT83DAK9CK6,SAJT7HQ7DQ7654C72,,S8H542DJ32CAT9843,SK65HAKT83DAK9CK6,SAJT7HQ7DQ7654C72,,9.0,PASS 2NT PASS 3H! PASS 3S PASS 3NT PASS 4S PASS PASS PASS,4S,missing_or_invalid
TM-11159-1752844182.lin,TM,open,8,o,none,2.0,W,SQ8HQJ9DK7CAK9632,S43HKT763D53CJT54,S97652H82DQ9642CQ,,SQ8HQJ9DK7CAK9632,S43HKT763D53CJT54,S97652H82DQ9642CQ,,,PASS PASS 1NT X PASS 2S PASS 3C PASS 3D PASS 3S PASS 4S PASS PASS PASS,4S,missing_or_invalid
TM-11159-1752844182.lin,TM,open,9,e,ew,3.0,N,SAJ652HKJ8DQ7CA72,SQ84HA96D92CKQ854,SKT97HQT32DKJCJT9,,SAJ652HKJ8DQ7CA72,SQ84HA96D92CKQ854,SKT97HQT32DKJCJT9,,9.0,PASS PASS 1NT PASS 2C PASS 2S PASS 4S PASS PASS PASS,4S,missing_or_invalid
